Model,Accuracy
KNN,0.7894736842105263
Naive Bayes,0.8421052631578947
Decision Tree,0.7030075187969925
Random Forest,0.8308270676691729
Gradient Boosting,0.8383458646616542
Neural Network,0.7218045112781954
