Model,Best Parameters,Best CV Score,Test Accuracy
Decision Tree,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.827683615819209,0.8270676691729323
Neural Network,"{'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001, 'max_iter': 300}",0.8342749529190208,0.8383458646616542
